Participant,TaskKey,CognitiveLoad,EEG_Delta_Mean,EEG_Theta_Mean,EEG_Alpha_Mean,EEG_Beta_Mean,EEG_Gamma_Mean,EEG_Delta_Var,EEG_Theta_Var,EEG_Alpha_Var,EEG_Beta_Var,EEG_Gamma_Var,EEG_Theta_Alpha_Ratio,EEG_Theta_Beta_Ratio,GSR_Mean,GSR_Var
1,2spl1,1,0.35080730625555845,0.13077359352113774,0.3603746294708247,0.26663812027009387,-0.20638164652770097,0.44498525934895966,0.34433345486297157,0.3380047526796489,0.6460181799323192,0.75562175124075,0.3628823520409407,0.49045347641295917,17.754678986022267,0.35732971122143875
1,2spl2,1,0.8562981603315188,0.4059212766436549,0.5441405726885701,0.3254875507744459,-0.1583592254544437,0.4807783215852364,0.16762493858607597,0.1386984370650534,0.352591938932085,0.39034454832877585,0.7459860489579615,1.2471176683431118,17.709924379894026,0.08794594046111827
1,2Item1,1,0.9352409861549856,0.6658416312257948,0.779826999860549,0.44499001637252533,-0.13949952404154628,0.14822102575611934,0.14076936860495848,0.16367331427976584,0.469471147561412,0.5500843604542409,0.853832491682168,1.4963068950564402,17.883961519337493,0.14085782907899697
1,2Item2,1,1.1227470223395721,0.848656984764706,0.902279314946524,0.37097769380377016,-0.10661585844652402,0.028810686308905372,0.01540853628823545,0.056878503761431894,0.4913487177858691,0.5074492436043889,0.9405701424890072,2.287622670181305,18.13026247121754,0.10068684743095142
1,2Item3,1,1.0716091218188668,0.7541807733242917,0.8596021354701628,0.5152086765641954,-0.043558898661543104,0.030961999344379865,0.05119981705817553,0.08432419603493202,0.40720858199638355,0.49202764913573965,0.8773602825386528,1.4638355411440447,18.319724630352265,0.017828908460012574
1,2Item4,1,1.25404945934154,0.7553364751796449,0.8429766857400516,0.4784677954153593,-0.05553836622409817,0.14981370574401087,0.05236982274286305,0.1002048535672286,0.3417426228048566,0.5791364494497715,0.8960348335381281,1.5786568727060892,18.017841967669906,0.10185186858896937
1,2Item5,1,0.9545801325137061,0.7150956399188684,0.8321780726145834,0.40337237600491227,-0.09647062709372801,0.18042986845294048,0.11963519932919303,0.09829893556745886,0.41008411710382536,0.5731966199722502,0.8593060338790651,1.7727927857344576,18.544337302070147,0.23407747241689555
1,2Item6,1,0.9711984101424036,0.6647608985978296,0.7896215565408627,0.3963201709825964,-0.11478261380158092,0.14311735408561801,0.14527476520319327,0.12602268711922665,0.42976842033365636,0.6748126110069883,0.8418727835497682,1.677332988811433,18.25298495425842,0.13345952067731462
1,2Item7,1,1.0052717569524414,0.6902764732410586,0.677293512673439,0.41741427602273085,-0.056965949928896406,0.12367683546219238,0.09253428712666527,0.09261426346926444,0.45963845837407,0.6831985054070335,1.0191688821840386,1.6536963665080113,18.26150116598479,0.4799783204792226
1,2Item8,1,0.885625619269424,0.6109495274213762,0.851539496285456,0.38927884214287783,-0.16225658137504825,0.11367701553074783,0.07323968011428632,0.16760726150607022,0.492704290417574,0.6263663997997404,0.717464697021061,1.5694393316852775,18.52219350363986,0.11143336555819375
1,2Item9,1,0.8345938413650841,0.6152391202870879,0.7304278729296018,0.4100168799367101,-0.07281633805917324,0.09185633614735564,0.07289993774108448,0.11093871094829144,0.4334686721432079,0.6322166778100473,0.8422996195054632,1.5005214392186348,18.391955380498747,0.13116296095260296
1,2Item10,1,0.8397702538108691,0.5807250783975785,0.795795751501631,0.4575574901865103,0.005135433484022564,0.12426840193873463,0.06862263974964117,0.09331350900974701,0.4465687594647339,0.6792000144107272,0.7297413646303526,1.2691849430585813,19.762596288625062,1.1513206232559041
1,3spl1,2,0.46294889345135604,0.279924121812648,0.551843416816568,0.26477305861489153,-0.17108444078402366,0.14216597751187565,0.10103480283499046,0.24072463528839325,0.4514419758485112,0.7101914390477854,0.5072528053704074,1.0572228240282202,19.368087159968866,0.1417989371778463
1,3spl2,2,0.5334716716235259,0.40544097719398586,0.529846927704602,0.21469629819280667,-0.20104365554245282,0.16184119074534115,0.06677828086131311,0.19699126546137377,0.5770613066403406,0.8042967773451662,0.7652039772793052,1.8884395246602836,19.39181972816616,0.026905901228101454
1,3Item15,2,0.8014624870369412,0.5353992275387939,0.6341067227625151,0.2974929276047081,-0.17844170263038664,0.30726435165908145,0.18645015739457815,0.18381518715684006,0.492485629430455,0.8199293225061441,0.844336146385527,1.799704046916027,19.035641341977094,0.04030958278331346
1,3Item2,2,1.0977409743947657,0.7422061834768813,0.8802324015212649,0.4373126091082333,-0.10653607863331521,0.06530685415139248,0.08036099880099377,0.1323788206246226,0.32561726401693114,0.7302138424899133,0.8431934354506461,1.6971982200403228,18.807727996160825,0.0747936080932965
1,3Item5,2,1.0568748675908417,0.7161448534101484,0.827985018391708,0.3700412829222524,-0.12463711257222777,0.11199127372814588,0.0945753111638174,0.12570557611460012,0.3550966379460002,0.585700747604884,0.8649248919216864,1.935310692416185,19.197587981029262,0.021842434774497335
1,3Item12,2,1.1492248819590465,0.7819423242036471,0.871570292769356,0.4098258429969641,-0.16889015247504077,0.05743915291738806,0.09654938028006198,0.13183364265711978,0.3674095677006792,0.6282434934835178,0.8971649559347794,1.9079868574843695,19.501809761039922,0.19640824146324057
1,3Item6,2,1.107019372522163,0.8079426232347074,0.9253238733843085,0.4425244601729388,-0.11051981527526596,0.04733985906040481,0.12727168253438484,0.12984218894489352,0.3505197975585142,0.5888672662277912,0.8731457661484158,1.8257581085872743,19.220851000120955,0.013626723087793696
1,3Item8,2,1.0007902469141174,0.6369963129729862,0.8336054010440639,0.41765988751599287,-0.06334890584148883,0.12361461188040553,0.08470465874903482,0.12060827889857735,0.35110243626651233,0.6542841994963186,0.7641460952760416,1.525155588285789,19.476311328133654,0.1351059128230348
1,3Item7,2,0.6887107862268067,0.5499908615545166,0.820305627753662,0.3951278412747803,-0.11820022243603523,0.10961859253313763,0.08424098753446393,0.17646325534449686,0.3588217676094646,0.7526039361430135,0.6704706663907082,1.3919314275303365,19.078088388115667,0.036044973466732355
1,3Item9,2,1.0763759471674417,0.7374168571535858,0.8276644480598645,0.42026962000028006,-0.05504822818704809,0.13236665905015427,0.10261908546732365,0.1347584844979593,0.39671848887406735,0.638335922446597,0.8909611352658798,1.7546280299738686,18.75943293853741,0.05334284554729962
1,3Item17,2,1.0971539460681752,0.7841326916447987,0.9319864417976785,0.42215309779297683,-0.11242567995320307,0.09826948382898305,0.06507974414996447,0.08086601796823584,0.43373583725710935,0.6719174512420714,0.8413563284149866,1.8574604660887164,18.20903027099731,0.02004980215847909
1,3Item19,2,1.0886530498329896,0.7383272782802425,0.8607316654610524,0.45764608523226086,-0.04849576114546355,0.11575657582080752,0.06019796234358258,0.08393129761001225,0.37455573644332196,0.5787613774118928,0.8577903045160606,1.6133149621332772,19.166797738554337,0.3637484348976582
1,3Item11,2,1.1054504426481706,0.5969882844690806,0.8346514975408982,0.38709516487613704,-0.08183669720222256,0.14849259501390438,0.06465680274918226,0.10141447087025271,0.37717279661161274,0.5515342567268358,0.7152545529633744,1.5422261425504478,19.590297060193432,0.037214417145487406
1,3Item4,2,0.7059365383336027,0.6067610519326893,0.8246871841618693,0.3815613295541963,-0.09417205683453027,0.07185891282854348,0.07186810990403314,0.12106972905729736,0.428743082226073,0.6175488248138907,0.7357469145268632,1.5902058289067265,18.92399556555556,0.025926203242662094
1,3Item13,2,0.9286657244577331,0.6562180607273305,0.7282566139867584,0.3886947635353813,-0.021002943337076252,0.16721173606894368,0.1379208712589702,0.14931814906111726,0.4662179051697932,0.5760339785735286,0.9010808102845207,1.6882606111552028,18.75776045010035,0.021834564375963792
1,3Item10,2,1.099889666910828,0.7737622814092355,0.9344783565764332,0.424641479701433,0.03356567403343948,0.033987094702654264,0.023971331536738028,0.1596868052196317,0.31321298020379607,0.6083700482539101,0.8280151970731411,1.8221542561765665,18.62596358865015,0.0008704927250218914
2,1spl1,0,0.8284408218948321,0.4928881667089982,0.6425194000051375,0.3716009392385917,0.12585327531331217,0.09969004018219658,0.08940813323575007,0.07035769411306249,0.018770031672154793,0.01567830122305526,0.7671179515170113,1.3263910645450259,7.17608270667262,0.02364936714220243
2,1spl2,0,0.6156691734875447,0.3404176583763383,0.5261380851924518,0.3145461085938615,0.05522365256879016,0.209022989107487,0.16064493036975241,0.13805793705993274,0.01647327030016372,0.02073796695565282,0.6470120056121915,1.0822504173263559,7.134386004940209,0.022989756544951008
